"","Group.1","UTLA","TOTAL._CASES","RATE","Name_ULTA","Population","English_region","Area_.km2.","LAD_code","LAD_name","private_outdoor_space","Dist_green_area","Size_Green_area","No_Parks_1000mradius","Size_Green_area_1000mradious","casward2001","ONS","greenspace_pc"
"33","00BL","Bolton",1061,371.8,"Bolton",287550,"North West",139.8,"E08000001","Bolton",0.914,346.79,61138.87,5.08,379466.12,NA,NA,53.157989
"34","00BM","Bury",818,430.3,"Bury",190990,"North West",99.46,"E08000002","Bury",0.934,332.51,280597.5,5.08,1061938.07,NA,NA,59.885699375
"35","00BN","Manchester",1743,318.3,"Manchester",552858,"North West",630,"E08000003","Manchester",0.793,320.83,83065.21,4.75,344364.29,NA,NA,33.6046018181818
"36","00BP","Oldham",1159,491.9,"Oldham",237110,"North West",142.4,"E08000004","Oldham",0.912,326,44927.51,4.93,196840.51,NA,NA,50.831327
"37","00BQ","Rochdale",887,403.2,"Rochdale",222412,"North West",159,"E08000005","Rochdale",0.921,357.33,78275.2,4.25,297253.6,NA,NA,58.2972225
"38","00BR","Salford",983,386.4,"Salford",258834,"North West",97.19,"E08000006","Salford",0.821,317.65,100754.93,5.01,386214.61,NA,NA,44.817744
"39","00BS","Stockport",1091,373.9,"Stockport",293423,"North West",126,"E08000007","Stockport",0.907,279.71,125311.15,6.37,647285.58,NA,NA,45.2305004761905
"40","00BT","Tameside",881,391.2,"Tameside",226493,"North West",103.17,"E08000008","Tameside",0.924,285.28,69370.97,5.76,348492.55,NA,NA,49.3577457894737
"41","00BU","Trafford",885,374.4,"Trafford",237354,"North West",106,"E08000009","Trafford",0.925,311.83,44335.2,5.17,200681.73,NA,NA,41.4287866666667
"42","00BW","Wigan",1231,377.5,"Wigan",328662,"North West",188.19,"E08000010","Wigan",0.94,343.8,112130.11,4.88,492890.91,NA,NA,51.1728620833333
"43","00BX","Knowsley",677,452.6,"Knowsley",150862,"North West",86.5,"E08000011","Knowsley",0.925,285.71,94206.47,5.68,432497.17,NA,NA,42.6675290909091
"44","00BY","Liverpool",1679,339.3,"Liverpool",498042,"North West",199.6,"E08000012","Liverpool",0.839,275.49,98400.78,6.84,602929.34,NA,NA,28.6502084848485
"45","00BZ","St. Helens",766,425.4,"St. Helens",180585,"North West",135,"E08000013","St. Helens",0.945,279.7,83307.68,5.4,431615.46,NA,NA,57.8318283333333
"46","00CA","Sefton",980,355.9,"Sefton",276410,"North West",155,"E08000014","Sefton",0.921,334.7,68034.67,4.81,349800.6,NA,NA,46.3030004545455
"47","00CB","Wirral",1365,422.3,"Wirral",324011,"North West",157,"E08000015","Wirral",0.934,326.84,92664.6,6.07,390078.49,NA,NA,38.595545
"48","00CC","Barnsley",1092,445.4,"Barnsley",246866,"Yorkshire and the humber",329.1,"E08000016","Barnsley",0.943,280.3,78564.44,4.85,364672.6,NA,NA,67.6178395454545
"49","00CE","Doncaster",950,305.9,"Doncaster",311890,"Yorkshire and the humber",568,"E08000017","Doncaster",0.941,407.73,56247.27,3.71,187610.15,NA,NA,68.03355
"50","00CF","Rotherham",1079,407.7,"Rotherham",257280,"Yorkshire and the humber",286.5,"E08000018","Rotherham",0.948,319.23,80661.16,3.61,259986.98,NA,NA,64.3840840909091
"51","00CG","Sheffield",2686,461.1,"Sheffield",584853,"Yorkshire and the humber",367.94,"E08000019","Sheffield",0.859,315.79,100633.28,4.61,407837.71,NA,NA,44.1455493103448
