casward2001,ONS,greenspace_pc
00AAFA,00AA,8.383184
00AAFE,00AA,24.35464
00AAFQ,00AA,10.79521
00AAFS,00AA,22.74589
00AAFT,00AA,22.76705
00AAFX,00AA,17.16018
00AAFY,00AA,22.51275
00AAFZ,00AA,23.41684
00AAGB,00AA,23.54557
00ABFX,00AB,15.68562
00ABFY,00AB,24.04374
00ABFZ,00AB,18.21998
00ABGA,00AB,56.84335
00ABGB,00AB,58.17402
00ABGC,00AB,19.18874
00ABGD,00AB,13.77991
00ABGE,00AB,14.4604
00ABGF,00AB,40.23384
00ABGG,00AB,29.75151
00ABGH,00AB,42.36457
00ABGJ,00AB,24.67846
00ABGK,00AB,42.90501
00ABGL,00AB,53.80516
00ABGM,00AB,20.13458
00ABGN,00AB,50.89484
00ABGP,00AB,29.49856
00ACFX,00AC,19.94054
00ACFY,00AC,14.8701
00ACFZ,00AC,26.28356
00ACGA,00AC,17.68908
00ACGB,00AC,18.65261
00ACGC,00AC,40.46021
00ACGD,00AC,37.2539
00ACGE,00AC,57.16464
00ACGF,00AC,18.5158
00ACGG,00AC,25.74407
00ACGH,00AC,22.36515
00ACGJ,00AC,50.03088
00ACGK,00AC,24.45143
00ACGL,00AC,60.06723
00ACGM,00AC,57.10447
00ACGN,00AC,21.5744
00ACGP,00AC,60.85955
00ACGQ,00AC,47.09506
00ACGR,00AC,16.03381
00ACGS,00AC,32.93319
00ACGT,00AC,19.76605
00ADGA,00AD,38.374
00ADGB,00AD,36.20712
00ADGC,00AD,16.46348
00ADGD,00AD,20.76193
00ADGE,00AD,17.66464
00ADGF,00AD,19.51779
00ADGG,00AD,16.094
00ADGH,00AD,55.28372
00ADGJ,00AD,63.7332
00ADGK,00AD,42.43681
00ADGL,00AD,34.11001
00ADGM,00AD,31.58829
00ADGN,00AD,16.39892
00ADGP,00AD,42.99547
00ADGQ,00AD,36.73293
00ADGR,00AD,56.08953
00ADGS,00AD,16.76724
00ADGT,00AD,49.02436
00ADGU,00AD,15.52815
00ADGW,00AD,29.69898
00ADGX,00AD,63.33378
00AEGJ,00AE,17.19871
00AEGK,00AE,34.84554
00AEGL,00AE,15.69221
00AEGM,00AE,26.85076
00AEGN,00AE,18.27953
00AEGP,00AE,39.68355
00AEGQ,00AE,12.36901
00AEGR,00AE,13.64708
00AEGS,00AE,17.95706
00AEGT,00AE,4.818498
00AEGU,00AE,14.77216
00AEGW,00AE,36.52337
00AEGX,00AE,17.5938
00AEGY,00AE,13.7527
00AEGZ,00AE,16.13301
00AEHA,00AE,36.1487
00AEHB,00AE,26.92346
00AEHC,00AE,33.32174
00AEHD,00AE,26.6267
00AEHE,00AE,15.55772
00AEHF,00AE,24.57796
00AFGD,00AF,30.32013
00AFGE,00AF,68.33501
00AFGF,00AF,61.72131
00AFGG,00AF,21.76525
00AFGH,00AF,68.18019
00AFGJ,00AF,61.99118
00AFGK,00AF,17.62337
00AFGL,00AF,27.21248
00AFGM,00AF,70.95973
00AFGN,00AF,26.16908
00AFGP,00AF,36.83948
00AFGQ,00AF,90.5433
00AFGR,00AF,56.13552
00AFGS,00AF,70.5668
00AFGT,00AF,44.15483
00AFGU,00AF,47.05417
00AFGW,00AF,28.71227
00AFGX,00AF,27.8291
00AFGY,00AF,34.25997
00AFGZ,00AF,31.73178
00AFHA,00AF,19.93132
00AFHB,00AF,30.97363
00AGGD,00AG,4.914657
00AGGE,00AG,12.6969
00AGGF,00AG,18.781
00AGGG,00AG,6.365154
00AGGH,00AG,21.21021
00AGGJ,00AG,15.68033
00AGGK,00AG,4.644541
00AGGL,00AG,56.01875
00AGGM,00AG,4.395981
00AGGN,00AG,55.79787
00AGGP,00AG,12.92202
00AGGQ,00AG,9.909052
00AGGR,00AG,4.443366
00AGGS,00AG,0
00AGGT,00AG,22.64439
00AGGU,00AG,27.773
00AGGW,00AG,22.31608
00AGGX,00AG,19.58789
00AHGE,00AH,12.14457
00AHGF,00AH,32.23218
00AHGG,00AH,9.940602
00AHGH,00AH,29.31773
00AHGJ,00AH,60.76616
00AHGK,00AH,35.87464
00AHGL,00AH,29.63205
00AHGM,00AH,34.85587
00AHGN,00AH,32.38036
00AHGP,00AH,57.25173
00AHGQ,00AH,42.91679
00AHGR,00AH,36.54943
00AHGS,00AH,22.00003
00AHGT,00AH,21.909
00AHGU,00AH,52.09814
00AHGW,00AH,20.41508
00AHGX,00AH,57.46146
00AHGY,00AH,26.5494
00AHGZ,00AH,23.48471
00AHHA,00AH,13.01253
00AHHB,00AH,18.14147
00AHHC,00AH,37.43176
00AHHD,00AH,26.08879
00AHHE,00AH,36.74421
00AJGC,00AJ,14.8904
00AJGD,00AJ,37.0951
00AJGE,00AJ,29.57608
00AJGF,00AJ,16.01956
00AJGG,00AJ,16.72887
00AJGH,00AJ,38.81235
00AJGJ,00AJ,30.717
00AJGK,00AJ,21.03691
00AJGL,00AJ,29.00343
00AJGM,00AJ,32.6075
00AJGN,00AJ,32.4454
00AJGP,00AJ,20.30193
00AJGQ,00AJ,18.73137
00AJGR,00AJ,42.31599
00AJGS,00AJ,28.39315
00AJGT,00AJ,49.01258
00AJGU,00AJ,48.17263
00AJGW,00AJ,36.9951
00AJGX,00AJ,14.68719
00AJGY,00AJ,21.62288
00AJGZ,00AJ,14.20728
00AJHA,00AJ,13.14347
00AJHB,00AJ,13.19692
00AKGL,00AK,14.23913
00AKGM,00AK,30.27307
00AKGN,00AK,82.29048
00AKGP,00AK,59.26722
00AKGQ,00AK,25.02342
00AKGR,00AK,36.00146
00AKGS,00AK,45.74974
00AKGT,00AK,24.93213
00AKGU,00AK,25.55652
00AKGW,00AK,55.14411
00AKGX,00AK,35.31056
00AKGY,00AK,25.51367
00AKGZ,00AK,15.92471
00AKHA,00AK,24.96266
00AKHB,00AK,35.35804
00AKHC,00AK,29.0844
00AKHD,00AK,18.10823
00AKHE,00AK,17.25132
00AKHF,00AK,26.98271
00AKHG,00AK,26.54337
00AKHH,00AK,31.07359
00ALGP,00AL,38.25092
00ALGQ,00AL,17.62342
00ALGR,00AL,27.67388
00ALGS,00AL,25.49849
00ALGT,00AL,33.44559
00ALGU,00AL,47.69141
00ALGW,00AL,23.29265
00ALGX,00AL,17.05965
00ALGY,00AL,46.48581
00ALGZ,00AL,21.73263
00ALHA,00AL,39.55984
00ALHB,00AL,21.18294
00ALHC,00AL,33.87146
00ALHD,00AL,50.0412
00ALHE,00AL,42.77068
00ALHF,00AL,43.57259
00ALHG,00AL,16.8279
00AMGA,00AM,7.886191
00AMGB,00AM,4.372862
00AMGC,00AM,9.049614
00AMGD,00AM,7.55577
00AMGE,00AM,9.877592
00AMGF,00AM,9.885596
00AMGG,00AM,7.215744
00AMGH,00AM,11.3
00AMGJ,00AM,13.61248
00AMGK,00AM,7.799132
00AMGL,00AM,60.77973
00AMGM,00AM,26.79792
00AMGN,00AM,26.66186
00AMGP,00AM,8.159914
00AMGQ,00AM,12.18201
00AMGR,00AM,24.99496
00AMGS,00AM,5.847662
00AMGT,00AM,6.667485
00AMGU,00AM,33.84971
00ANGA,00AN,0
00ANGB,00AN,3.965396
00ANGC,00AN,7.63724
00ANGD,00AN,55.16658
00ANGE,00AN,4.471718
00ANGF,00AN,9.031045
00ANGG,00AN,10.67764
00ANGH,00AN,3.695127
00ANGJ,00AN,2.079842
00ANGK,00AN,44.65533
00ANGL,00AN,10.22543
00ANGM,00AN,12.75758
00ANGN,00AN,34.56235
00ANGP,00AN,11.94423
00ANGQ,00AN,4.533168
00ANGR,00AN,7.11371
00APGA,00AP,41.6325
00APGB,00AP,14.21889
00APGC,00AP,8.642488
00APGD,00AP,22.6966
00APGE,00AP,26.15634
00APGF,00AP,38.20406
00APGG,00AP,39.35723
00APGH,00AP,12.99216
00APGJ,00AP,36.1816
00APGK,00AP,12.31138
00APGL,00AP,29.91059
00APGM,00AP,9.46258
00APGN,00AP,11.14076
00APGP,00AP,12.54582
00APGQ,00AP,15.26744
00APGR,00AP,34.11617
00APGS,00AP,32.9274
00APGT,00AP,28.21223
00APGU,00AP,25.8832
00AQFY,00AQ,18.25478
00AQFZ,00AQ,61.84752
00AQGA,00AQ,15.35417
00AQGB,00AQ,20.1008
00AQGC,00AQ,52.71298
00AQGD,00AQ,59.16257
00AQGE,00AQ,37.84908
00AQGF,00AQ,43.5287
00AQGG,00AQ,16.16007
00AQGH,00AQ,14.43022
00AQGJ,00AQ,16.92918
00AQGK,00AQ,17.23109
00AQGL,00AQ,31.37289
00AQGM,00AQ,25.24524
00AQGN,00AQ,16.38748
00AQGP,00AQ,17.51724
00AQGQ,00AQ,15.02329
00AQGR,00AQ,21.41846
00AQGS,00AQ,47.68859
00AQGT,00AQ,14.70166
00AQGU,00AQ,23.18582
00ARGC,00AR,49.8137
00ARGD,00AR,62.17157
00ARGE,00AR,51.28189
00ARGF,00AR,42.44612
00ARGG,00AR,62.70921
00ARGH,00AR,26.86593
00ARGJ,00AR,69.31947
00ARGK,00AR,74.8824
00ARGL,00AR,46.71135
00ARGM,00AR,30.39897
00ARGN,00AR,37.28128
00ARGP,00AR,29.54704
00ARGQ,00AR,78.3757
00ARGR,00AR,18.53287
00ARGS,00AR,20.56914
00ARGT,00AR,49.48676
00ARGU,00AR,18.73544
00ARGW,00AR,85.2188
00ASGG,00AS,32.81371
00ASGH,00AS,31.21687
00ASGJ,00AS,42.12864
00ASGK,00AS,20.61618
00ASGL,00AS,49.24143
00ASGM,00AS,38.04008
00ASGN,00AS,78.90929
00ASGP,00AS,65.57118
00ASGQ,00AS,55.33438
00ASGR,00AS,54.50937
00ASGS,00AS,17.32435
00ASGT,00AS,58.21899
00ASGU,00AS,37.9381
00ASGW,00AS,39.8781
00ASGX,00AS,54.51813
00ASGY,00AS,35.8341
00ASGZ,00AS,38.64478
00ASHA,00AS,35.30275
00ASHB,00AS,42.42048
00ASHC,00AS,52.31358
00ASHD,00AS,38.8535
00ASHE,00AS,42.70776
00ATFY,00AT,52.61736
00ATFZ,00AT,47.24448
00ATGA,00AT,45.47642
00ATGB,00AT,35.17702
00ATGC,00AT,35.91344
00ATGD,00AT,43.43026
00ATGE,00AT,56.72769
00ATGF,00AT,45.83626
00ATGG,00AT,49.97282
00ATGH,00AT,17.39845
00ATGJ,00AT,33.45779
00ATGK,00AT,52.24178
00ATGL,00AT,16.41082
00ATGM,00AT,45.76738
00ATGN,00AT,22.26061
00ATGP,00AT,16.61195
00ATGQ,00AT,23.83226
00ATGR,00AT,56.86094
00ATGS,00AT,40.8201
00ATGT,00AT,24.62687
00AUFX,00AU,8.290119
00AUFY,00AU,12.43471
00AUFZ,00AU,11.31514
00AUGA,00AU,8.437573
00AUGB,00AU,10.82809
00AUGC,00AU,6.693986
00AUGD,00AU,11.51761
00AUGE,00AU,10.37563
00AUGF,00AU,6.421407
00AUGG,00AU,9.95627
00AUGH,00AU,10.73717
00AUGJ,00AU,6.51202
00AUGK,00AU,7.190475
00AUGL,00AU,8.680993
00AUGM,00AU,6.815209
00AUGN,00AU,5.21332
00AWFY,00AW,5.63557
00AWFZ,00AW,11.75131
00AWGA,00AW,30.7128
00AWGB,00AW,0
00AWGC,00AW,0
00AWGD,00AW,3.402559
00AWGE,00AW,0
00AWGF,00AW,23.68251
00AWGG,00AW,2.35692
00AWGH,00AW,12.71544
00AWGJ,00AW,8.690778
00AWGK,00AW,5.565013
00AWGL,00AW,2.685717
00AWGM,00AW,4.605686
00AWGN,00AW,8.224704
00AWGP,00AW,38.35273
00AWGQ,00AW,8.400023
00AWGR,00AW,9.637384
00AXFX,00AX,42.59177
00AXFY,00AX,16.9661
00AXFZ,00AX,28.96519
00AXGA,00AX,14.55422
00AXGB,00AX,40.07561
00AXGC,00AX,74.36983
00AXGD,00AX,37.7081
00AXGE,00AX,17.18436
00AXGF,00AX,25.76408
00AXGG,00AX,28.28417
00AXGH,00AX,25.6683
00AXGJ,00AX,34.42661
00AXGK,00AX,21.16843
00AXGL,00AX,16.53155
00AXGM,00AX,42.56533
00AXGN,00AX,19.06076
00AYFZ,00AY,15.49278
00AYGA,00AY,10.06094
00AYGB,00AY,21.1891
00AYGC,00AY,9.882882
00AYGD,00AY,8.91957
00AYGE,00AY,4.676125
00AYGF,00AY,13.1861
00AYGG,00AY,34.12359
00AYGH,00AY,12.35738
00AYGJ,00AY,7.297888
00AYGK,00AY,12.30692
00AYGL,00AY,11.40612
00AYGM,00AY,15.12918
00AYGN,00AY,5.156384
00AYGP,00AY,10.81745
00AYGQ,00AY,22.54471
00AYGR,00AY,13.02634
00AYGS,00AY,9.443637
00AYGT,00AY,15.63085
00AYGU,00AY,9.01368
00AYGW,00AY,9.227541
00AZGD,00AZ,47.03504
00AZGE,00AZ,34.11665
00AZGF,00AZ,13.89652
00AZGG,00AZ,14.7153
00AZGH,00AZ,17.66537
00AZGJ,00AZ,26.01569
00AZGK,00AZ,14.18404
00AZGL,00AZ,14.8373
00AZGM,00AZ,24.81406
00AZGN,00AZ,27.96342
00AZGP,00AZ,15.81913
00AZGQ,00AZ,16.14811
00AZGR,00AZ,16.33236
00AZGS,00AZ,13.24525
00AZGT,00AZ,17.87591
00AZGU,00AZ,13.03964
00AZGW,00AZ,15.39868
00AZGX,00AZ,24.78291
00BAFX,00BA,24.60467
00BAFY,00BA,43.63194
00BAFZ,00BA,19.1481
00BAGA,00BA,42.99255
00BAGB,00BA,14.27741
00BAGC,00BA,19.58673
00BAGD,00BA,10.61331
00BAGE,00BA,14.50286
00BAGF,00BA,17.10274
00BAGG,00BA,28.58577
00BAGH,00BA,36.29624
00BAGJ,00BA,19.85662
00BAGK,00BA,49.29678
00BAGL,00BA,26.53729
00BAGM,00BA,34.41451
00BAGN,00BA,32.5326
00BAGP,00BA,17.90495
00BAGQ,00BA,54.99798
00BAGR,00BA,32.92259
00BAGS,00BA,30.87878
00BBGB,00BB,52.95212
00BBGC,00BB,6.922731
00BBGD,00BB,37.12166
00BBGE,00BB,20.66963
00BBGF,00BB,34.40366
00BBGG,00BB,9.176774
00BBGH,00BB,8.011683
00BBGJ,00BB,34.07899
00BBGK,00BB,14.87199
00BBGL,00BB,9.356041
00BBGM,00BB,1.169167
00BBGN,00BB,3.550186
00BBGP,00BB,48.88025
00BBGQ,00BB,27.81575
00BBGR,00BB,8.291423
00BBGS,00BB,25.26824
00BBGT,00BB,43.96131
00BBGU,00BB,38.39035
00BBGW,00BB,31.88518
00BBGX,00BB,25.17848
00BCFY,00BC,78.0521
00BCFZ,00BC,14.8478
00BCGA,00BC,39.99282
00BCGB,00BC,15.69709
00BCGC,00BC,15.84327
00BCGD,00BC,29.52981
00BCGE,00BC,12.90626
00BCGF,00BC,35.71197
00BCGG,00BC,52.54475
00BCGH,00BC,26.47808
00BCGJ,00BC,26.63038
00BCGK,00BC,59.63911
00BCGL,00BC,24.15853
00BCGM,00BC,21.45758
00BCGN,00BC,33.08534
00BCGP,00BC,27.10759
00BCGQ,00BC,33.3557
00BCGR,00BC,28.05839
00BCGS,00BC,21.32163
00BCGT,00BC,19.20317
00BCGU,00BC,55.90331
00BDFW,00BD,49.08307
00BDFX,00BD,47.42027
00BDFY,00BD,25.09515
00BDFZ,00BD,60.49605
00BDGA,00BD,46.23567
00BDGB,00BD,27.33036
00BDGC,00BD,29.45783
00BDGD,00BD,22.38585
00BDGE,00BD,43.04445
00BDGF,00BD,42.21267
00BDGG,00BD,50.32864
00BDGH,00BD,18.02073
00BDGJ,00BD,31.71181
00BDGK,00BD,17.60432
00BDGL,00BD,43.312
00BDGM,00BD,23.81076
00BDGN,00BD,31.69411
00BDGP,00BD,17.17373
00BEGC,00BE,8.907053
00BEGD,00BE,7.304612
00BEGE,00BE,13.16912
00BEGF,00BE,3.693581
00BEGG,00BE,38.07117
00BEGH,00BE,10.58367
00BEGJ,00BE,10.77919
00BEGK,00BE,5.523454
00BEGL,00BE,11.49535
00BEGM,00BE,25.50681
00BEGN,00BE,4.217529
00BEGP,00BE,28.28566
00BEGQ,00BE,7.402853
00BEGR,00BE,46.32622
00BEGS,00BE,9.314946
00BEGT,00BE,15.43809
00BEGU,00BE,8.897785
00BEGW,00BE,20.46918
00BEGX,00BE,20.7576
00BEGY,00BE,13.2683
00BEGZ,00BE,30.0114
00BFGC,00BF,43.92007
00BFGD,00BF,37.56874
00BFGE,00BF,19.8618
00BFGF,00BF,18.20963
00BFGG,00BF,57.96247
00BFGH,00BF,33.37105
00BFGJ,00BF,17.60302
00BFGK,00BF,24.31353
00BFGL,00BF,17.87795
00BFGM,00BF,14.52664
00BFGN,00BF,31.19768
00BFGP,00BF,15.45745
00BFGQ,00BF,17.20957
00BFGR,00BF,15.36879
00BFGS,00BF,20.55318
00BFGT,00BF,18.26981
00BFGU,00BF,41.70052
00BFGW,00BF,27.56138
00BGFW,00BG,5.793984
00BGFX,00BG,4.147179
00BGFY,00BG,31.45351
00BGFZ,00BG,33.27942
00BGGA,00BG,34.51892
00BGGB,00BG,13.72006
00BGGC,00BG,14.23701
00BGGD,00BG,9.855155
00BGGE,00BG,7.322971
00BGGF,00BG,10.8836
00BGGG,00BG,27.68823
00BGGH,00BG,8.189308
00BGGJ,00BG,21.45584
00BGGK,00BG,7.748212
00BGGL,00BG,7.287026
00BGGM,00BG,4.83525
00BGGN,00BG,7.310082
00BHFX,00BH,8.161927
00BHFY,00BH,13.94372
00BHFZ,00BH,39.29123
00BHGA,00BH,53.87557
00BHGB,00BH,20.87545
00BHGC,00BH,45.12669
00BHGD,00BH,7.872951
00BHGE,00BH,47.50527
00BHGF,00BH,32.70973
00BHGG,00BH,23.50869
00BHGH,00BH,27.79352
00BHGJ,00BH,11.51624
00BHGK,00BH,29.59695
00BHGL,00BH,46.99426
00BHGM,00BH,33.36033
00BHGN,00BH,15.66455
00BHGP,00BH,28.0746
00BHGQ,00BH,21.19721
00BHGR,00BH,10.11956
00BHGS,00BH,38.90373
00BJFZ,00BJ,14.1102
00BJGA,00BJ,26.73607
00BJGB,00BJ,18.8011
00BJGC,00BJ,13.99592
00BJGD,00BJ,17.37187
00BJGE,00BJ,15.61288
00BJGF,00BJ,7.328358
00BJGG,00BJ,10.32277
00BJGH,00BJ,10.11832
00BJGJ,00BJ,24.99211
00BJGK,00BJ,41.44914
00BJGL,00BJ,57.84256
00BJGM,00BJ,15.69706
00BJGN,00BJ,7.276246
